CD_MUN	NM_MUN	SIGLA_UF	AREA_KM2	LONG_CENTROID	LAT_CENTROID
1300680	BOA VISTA DO RAMOS	AM	2589.407	-57.67010991	-3.137810907
1300706	BOCA DO ACRE	AM	21938.583	-68.04763359	-8.773154668
1300805	BORBA	AM	44236.184	-59.53469393	-4.957617435
1300839	CAAPIRANGA	AM	9455.539	-61.87775781	-3.082018998
1300904	CANUTAMA	AM	33642.732	-64.06190341	-7.3007581
1301001	CARAUARI	AM	25778.658	-67.33747164	-5.118516488
1301100	CAREIRO	AM	6096.212	-60.18327327	-3.770484299
1301159	CAREIRO DA VARZEA	AM	2627.474	-59.598677	-3.28601205
1301209	COARI	AM	57970.768	-64.12531065	-4.436351417
1301308	CODAJAS	AM	18700.713	-62.97331502	-3.288971966
1301407	EIRUNEPE	AM	14966.242	-70.21824815	-7.021998047
1301506	ENVIRA	AM	7505.794	-70.05508589	-7.57330419
1301605	FONTE BOA	AM	12155.427	-66.35792421	-2.490985541
1301654	GUAJARA	AM	7583.534	-72.84458795	-7.22978093
1301704	HUMAITA	AM	33111.129	-62.48643558	-7.361217528
1301803	IPIXUNA	AM	12109.779	-71.41286687	-7.180511579
1301852	IRANDUBA	AM	2216.817	-60.47968722	-3.095218725
1301902	ITACOATIARA	AM	8891.906	-58.7753428	-3.174123473
1301951	ITAMARATI	AM	25260.429	-68.11284122	-6.68282224
1302009	ITAPIRANGA	AM	4335.075	-58.61326834	-2.497237443
1302108	JAPURA	AM	55827.203	-68.3211177	-1.69708071
1302207	JURUA	AM	19442.548	-66.30779919	-3.524464207
1302306	JUTAI	AM	69457.415	-68.40630449	-4.715290852
1302405	LABREA	AM	68262.68	-65.81166286	-8.37560148
1302504	MANACAPURU	AM	7336.579	-60.9587578	-3.291538169
1302553	MANAQUIRI	AM	3973.258	-60.69726606	-3.779050741
1302603	MANAUS	AM	11401.092	-60.25962801	-2.625919383
1302702	MANICORE	AM	48315.038	-61.44677327	-6.459960113
1302801	MARAA	AM	16830.827	-65.03955123	-2.426828643
1302900	MAUES	AM	39991.066	-58.06092285	-4.98478095
1303007	NHAMUNDA	AM	14107.04	-57.65624541	-1.680585792
1303106	NOVA OLINDA DO NORTE	AM	5578.132	-58.59976987	-3.989502822
